disease,n,p,k,temperature,humidity,severity_level,remedy_with_remedy_capacity
Nutrient Deficiency,106,56,106,20.7,62,Mild,13
Nutrient Deficiency,107,57,107,20.8,63,Mild,13
Nutrient Deficiency,108,58,108,20.9,64,Mild,13
Nutrient Deficiency,109,59,109,21,65,Mild,13
Nutrient Deficiency,110,60,110,21.1,66,Mild,13
Nutrient Deficiency,111,61,111,21.2,67,Mild,13
Nutrient Deficiency,112,62,112,21.3,68,Mild,13
Nutrient Deficiency,102,52,102,20.3,69,Mild,14
Nutrient Deficiency,103,53,103,20.4,70,Mild,14
Nutrient Deficiency,104,54,104,20.5,60,Mild,14
Nutrient Deficiency,105,55,105,20.6,61,Mild,14
Nutrient Deficiency,143,93,143,19.3,70,Mild,15
Nutrient Deficiency,144,94,144,19.4,60,Mild,15
Nutrient Deficiency,145,95,145,19.5,61,Mild,15
Nutrient Deficiency,146,96,146,19.6,62,Mild,15
Nutrient Deficiency,147,97,147,19.7,63,Mild,15
Nutrient Deficiency,148,98,148,19.8,64,Mild,15
Nutrient Deficiency,149,99,149,19.9,65,Mild,15
Nutrient Deficiency,150,100,150,20,66,Mild,15
Nutrient Deficiency,100,50,100,20.1,67,Mild,15
Nutrient Deficiency,101,51,101,20.2,68,Mild,15
Nutrient Deficiency,137,87,137,18.7,64,Mild,16
Nutrient Deficiency,138,88,138,18.8,65,Mild,16
Nutrient Deficiency,139,89,139,18.9,66,Mild,16
Nutrient Deficiency,140,90,140,19,67,Mild,16
Nutrient Deficiency,141,91,141,19.1,68,Mild,16
Nutrient Deficiency,142,92,142,19.2,69,Mild,16
Nutrient Deficiency,113,63,113,16.3,62,Mild,17
Nutrient Deficiency,114,64,114,16.4,63,Mild,17
Nutrient Deficiency,115,65,115,16.5,64,Mild,17
Nutrient Deficiency,116,66,116,16.6,65,Mild,17
Nutrient Deficiency,117,67,117,16.7,66,Mild,17
Nutrient Deficiency,118,68,118,16.8,67,Mild,17
Nutrient Deficiency,119,69,119,16.9,68,Mild,17
Nutrient Deficiency,120,70,120,17,69,Mild,17
Nutrient Deficiency,121,71,121,17.1,70,Mild,17
Nutrient Deficiency,100,50,100,15,60,Mild,18
Nutrient Deficiency,101,51,101,15.1,61,Mild,18
Nutrient Deficiency,102,52,102,15.2,62,Mild,18
Rust Disease,100,50,100,60,50,Mild,19
Cercospora Leaf Blight,100,50,100,25,50,Mild,19
Nematode Infestations,100,50,100,25,50,Mild,24
Nutrient Deficiency,50,50,50,25,50,Mild,36
Nutrient Deficiency,75,50,50,25,30,Mild,36
Nutrient Deficiency,100,50,50,25,50,Mild,39
Nutrient Deficiency,100,75,50,25,30,Mild,39
Nutrient Deficiency,100,100,50,25,50,Mild,42
Nutrient Deficiency,100,100,75,25,30,Mild,42
Leaf Spot,118,68,118,19.4,60,Mild,72
Leaf Spot,119,69,119,19.5,61,Mild,72
Leaf Spot,120,70,120,19.6,62,Mild,72
Leaf Spot,121,71,121,19.7,63,Mild,72
Leaf Spot,122,72,122,19.8,64,Mild,72
